Country,_TYPE_,_FREQ_,maximum_var,minimum_var,median_var
Palau,1,1,,,
Panama,1,16,77.80,75.50,76.45
Papua New Guinea,1,16,68.00,58.90,61.70
Paraguay,1,16,79.00,71.20,72.85
Peru,1,16,75.50,71.40,73.85
Philippines,1,16,68.50,66.80,67.50
Poland,1,16,77.50,73.70,75.40
Portugal,1,16,89.00,76.60,78.85
Qatar,1,16,78.20,76.20,76.75
Republic of Korea,1,16,87.00,76.00,80.45
Republic of Moldova,1,16,79.00,67.10,68.55
Romania,1,16,78.00,71.10,73.85
Russian Federation,1,16,75.00,64.60,67.40
Rwanda,1,16,68.00,48.30,60.30
Saint Kitts and Nevis,1,1,,,
Saint Lucia,1,16,75.20,71.60,74.00
Saint Vincent and the Grenadines,1,16,79.00,71.00,72.60
Samoa,1,16,79.00,71.40,73.10
San Marino,1,1,,,
Sao Tome and Principe,1,16,67.50,62.60,65.25
Saudi Arabia,1,16,74.50,72.60,73.25
Senegal,1,16,66.70,57.50,63.15
Serbia,1,16,75.60,72.60,73.90
Seychelles,1,16,73.20,71.80,72.20
Sierra Leone,1,16,54.00,39.00,46.65
Singapore,1,16,87.00,78.30,81.85
Slovakia,1,16,76.70,73.00,74.55
Slovenia,1,16,88.00,76.00,78.60
Solomon Islands,1,16,69.20,65.80,67.80
Somalia,1,16,58.00,51.10,52.75
South Africa,1,16,69.00,53.70,56.25
South Sudan,1,16,58.00,48.90,53.95
Spain,1,16,89.00,79.10,81.75
Sri Lanka,1,16,74.90,69.10,73.85
Sudan,1,16,67.00,58.60,61.90
Suriname,1,16,76.00,67.40,69.65
Swaziland,1,16,58.90,45.60,50.70
Sweden,1,16,89.00,79.60,81.80
Switzerland,1,16,85.00,79.70,82.20
Syrian Arab Republic,1,16,73.80,62.80,72.90
Tajikistan,1,16,69.70,63.70,66.25
Thailand,1,16,74.90,71.10,73.40
The former Yugoslav republic of Macedonia,1,16,75.70,72.60,73.95
Timor-Leste,1,16,68.30,58.70,66.00
Togo,1,16,59.90,54.60,56.05
Tonga,1,16,73.50,71.60,72.50
Trinidad and Tobago,1,16,78.00,69.10,69.80
Tunisia,1,16,75.30,72.90,74.65
Turkey,1,16,78.00,71.20,73.95
Turkmenistan,1,16,66.30,63.30,64.30
Tuvalu,1,1,,,
Uganda,1,16,67.00,46.60,55.90
Ukraine,1,16,78.00,67.00,67.70
United Arab Emirates,1,16,77.10,74.20,75.70
United Kingdom of Great Britain and Northern Ireland,1,16,87.00,77.80,79.55
United Republic of Tanzania,1,16,67.00,49.20,56.55
United States of America,1,16,79.30,76.80,78.15
Uruguay,1,16,77.00,75.10,76.25
Uzbekistan,1,16,69.40,67.10,67.85
Vanuatu,1,16,78.00,69.00,71.10
Venezuela (Bolivarian Republic of),1,16,74.10,72.40,73.60
Viet Nam,1,16,76.00,73.40,74.80
Yemen,1,16,68.00,61.10,63.95
Zambia,1,16,63.00,43.80,56.55
Zimbabwe,1,16,67.00,44.30,47.40
