Country,_TYPE_,_FREQ_,maximum_var,minimum_var,median_var
Saint Vincent and the Grenadines,1,16,7.07,4.73,6.04
Samoa,1,16,4.17,0.01,3.30
San Marino,1,1,0.01,0.01,0.01
Sao Tome and Principe,1,16,6.54,0.01,5.07
Saudi Arabia,1,16,0.10,0.05,0.09
Senegal,1,16,0.36,0.26,0.32
Serbia,1,16,9.85,6.95,9.16
Seychelles,1,16,11.15,0.01,7.41
Sierra Leone,1,16,4.21,0.01,3.86
Singapore,1,16,2.16,1.43,1.80
Slovakia,1,16,11.37,9.85,10.58
Slovenia,1,16,12.26,9.29,10.80
Solomon Islands,1,16,1.21,0.01,0.99
Somalia,1,16,0.01,0.01,0.01
South Africa,1,16,8.69,6.93,7.38
South Sudan,1,16,,,
Spain,1,16,12.26,0.01,10.24
Sri Lanka,1,16,3.03,1.45,2.05
Sudan,1,16,2.12,0.01,1.76
Suriname,1,16,6.32,4.23,4.72
Swaziland,1,16,7.19,0.01,5.20
Sweden,1,16,7.40,6.20,6.90
Switzerland,1,16,11.26,9.61,10.24
Syrian Arab Republic,1,16,1.41,0.01,0.83
Tajikistan,1,16,0.86,0.01,0.35
Thailand,1,16,6.56,5.88,6.14
The former Yugoslav republic of Macedonia,1,16,3.27,1.03,1.75
Timor-Leste,1,16,0.50,0.01,0.10
Togo,1,16,1.44,0.01,1.10
Tonga,1,16,2.05,0.01,1.24
Trinidad and Tobago,1,16,6.94,4.55,6.37
Tunisia,1,16,1.46,1.17,1.30
Turkey,1,16,1.54,1.26,1.42
Turkmenistan,1,16,2.93,2.33,2.71
Tuvalu,1,1,0.01,0.01,0.01
Uganda,1,16,10.57,0.01,9.89
Ukraine,1,16,9.46,4.31,8.06
United Arab Emirates,1,16,1.91,1.64,1.74
United Kingdom of Great Britain and Northern Ireland,1,16,12.22,10.32,10.90
United Republic of Tanzania,1,16,4.40,0.01,3.97
United States of America,1,16,8.82,8.21,8.63
Uruguay,1,16,6.76,5.11,6.21
Uzbekistan,1,16,2.83,0.01,1.60
Vanuatu,1,16,1.24,0.01,0.91
Venezuela (Bolivarian Republic of),1,16,8.70,6.30,7.55
Viet Nam,1,16,4.12,1.60,3.01
Yemen,1,16,0.08,0.01,0.04
Zambia,1,16,2.62,0.01,2.41
Zimbabwe,1,16,6.50,1.68,4.43
